Frame,TTC
1,10.258
2,13.3697
3,12.7475
4,13.6863
5,12.2897
6,11.2969
7,13.8474
8,15.7026
9,11.8516
10,10.6221
11,10.3509
12,10.4934
13,9.49132
14,12.4532
15,10.0452
16,10.3005
17,8.40181
18,8.57953
