Frame,TTC
1,11.6795
2,12.8195
3,13.1886
4,13.6888
5,13.6699
6,13.0131
7,16.3005
8,12.5576
9,13.4421
10,11.7135
11,12.8309
12,10.301
13,10.2095
14,9.1727
15,9.61004
16,9.45279
17,8.38733
18,8.67077
